date,location,new_cases,new_deaths,total_cases,total_deaths,weekly_cases,weekly_deaths,biweekly_cases,biweekly_deaths
1/1/2021,Vietnam,9,0,1474,35,35,0,64,0
1/2/2021,Vietnam,8,0,1482,35,42,0,71,0
1/3/2021,Vietnam,12,0,1494,35,53,0,81,0
1/4/2021,Vietnam,3,0,1497,35,46,0,83,0
1/5/2021,Vietnam,7,0,1504,35,50,0,84,0
1/6/2021,Vietnam,1,0,1505,35,49,0,84,0
1/7/2021,Vietnam,4,0,1509,35,44,0,77,0
1/8/2021,Vietnam,3,0,1512,35,38,0,73,0
1/9/2021,Vietnam,1,0,1513,35,31,0,73,0
1/10/2021,Vietnam,1,0,1514,35,20,0,73,0
1/11/2021,Vietnam,1,0,1515,35,18,0,64,0
1/12/2021,Vietnam,5,0,1520,35,16,0,66,0
1/13/2021,Vietnam,1,0,1521,35,16,0,65,0
1/14/2021,Vietnam,10,0,1531,35,22,0,66,0
1/15/2021,Vietnam,5,0,1536,35,24,0,62,0
1/16/2021,Vietnam,1,0,1537,35,24,0,55,0
1/17/2021,Vietnam,0,0,1537,35,23,0,43,0
1/18/2021,Vietnam,2,0,1539,35,24,0,42,0
1/19/2021,Vietnam,1,0,1540,35,20,0,36,0
1/20/2021,Vietnam,4,0,1544,35,23,0,39,0
1/21/2021,Vietnam,2,0,1546,35,15,0,37,0
1/22/2021,Vietnam,2,0,1548,35,12,0,36,0
1/23/2021,Vietnam,0,0,1548,35,11,0,35,0
1/24/2021,Vietnam,0,0,1548,35,11,0,34,0
1/25/2021,Vietnam,1,0,1549,35,10,0,34,0
1/26/2021,Vietnam,2,0,1551,35,11,0,31,0
1/27/2021,Vietnam,2,0,1553,35,9,0,32,0
1/28/2021,Vietnam,98,0,1651,35,105,0,120,0
1/29/2021,Vietnam,6,0,1657,35,109,0,121,0
1/30/2021,Vietnam,110,0,1767,35,219,0,230,0
1/31/2021,Vietnam,50,0,1817,35,269,0,280,0
2/1/2021,Vietnam,33,0,1850,35,301,0,311,0
2/2/2021,Vietnam,32,0,1882,35,331,0,342,0
2/3/2021,Vietnam,66,0,1948,35,395,0,404,0
2/4/2021,Vietnam,9,0,1957,35,306,0,411,0
2/5/2021,Vietnam,19,0,1976,35,319,0,428,0
2/6/2021,Vietnam,9,0,1985,35,218,0,437,0
2/7/2021,Vietnam,16,0,2001,35,184,0,453,0
2/8/2021,Vietnam,49,0,2050,35,200,0,501,0
2/9/2021,Vietnam,14,0,2064,35,182,0,513,0
2/10/2021,Vietnam,27,0,2091,35,143,0,538,0
2/11/2021,Vietnam,49,0,2140,35,183,0,489,0
2/12/2021,Vietnam,2,0,2142,35,166,0,485,0
2/13/2021,Vietnam,53,0,2195,35,210,0,428,0
2/14/2021,Vietnam,33,0,2228,35,227,0,411,0
2/15/2021,Vietnam,41,0,2269,35,219,0,419,0
2/16/2021,Vietnam,42,0,2311,35,247,0,429,0
2/17/2021,Vietnam,18,0,2329,35,238,0,381,0
2/18/2021,Vietnam,18,0,2347,35,207,0,390,0
2/19/2021,Vietnam,15,0,2362,35,220,0,386,0
2/20/2021,Vietnam,6,0,2368,35,173,0,383,0
2/21/2021,Vietnam,15,0,2383,35,155,0,382,0
2/22/2021,Vietnam,9,0,2392,35,123,0,342,0
2/23/2021,Vietnam,11,0,2403,35,92,0,339,0
2/24/2021,Vietnam,9,0,2412,35,83,0,321,0
2/25/2021,Vietnam,9,0,2421,35,74,0,281,0
2/26/2021,Vietnam,5,0,2426,35,64,0,284,0
