dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000
31/07/2020,31,7,2020,5641,111,Argentina,AR,ARG,44780675,America,151.4849877
30/07/2020,30,7,2020,5939,118,Argentina,AR,ARG,44780675,America,148.378737
29/07/2020,29,7,2020,4890,126,Argentina,AR,ARG,44780675,America,143.2559916
28/07/2020,28,7,2020,0,17,Argentina,AR,ARG,44780675,America,139.2564985
27/07/2020,27,7,2020,9006,92,Argentina,AR,ARG,44780675,America,145.1898615
26/07/2020,26,7,2020,5493,125,Argentina,AR,ARG,44780675,America,132.7804907
25/07/2020,25,7,2020,6127,105,Argentina,AR,ARG,44780675,America,128.0329071
24/07/2020,24,7,2020,5782,111,Argentina,AR,ARG,44780675,America,122.5305335
23/07/2020,23,7,2020,5344,133,Argentina,AR,ARG,44780675,America,117.6668284
22/07/2020,22,7,2020,4019,0,Argentina,AR,ARG,44780675,America,112.3855324
21/07/2020,21,7,2020,4231,127,Argentina,AR,ARG,44780675,America,109.2882142
20/07/2020,20,7,2020,3223,42,Argentina,AR,ARG,44780675,America,105.286488
19/07/2020,19,7,2020,4518,71,Argentina,AR,ARG,44780675,America,103.8729318
18/07/2020,18,7,2020,3623,21,Argentina,AR,ARG,44780675,America,93.78375828
17/07/2020,17,7,2020,4250,62,Argentina,AR,ARG,44780675,America,92.04640171
16/07/2020,16,7,2020,3645,124,Argentina,AR,ARG,44780675,America,88.68334388
15/07/2020,15,7,2020,3099,23,Argentina,AR,ARG,44780675,America,86.49936608
14/07/2020,14,7,2020,2657,85,Argentina,AR,ARG,44780675,America,84.63025624
13/07/2020,13,7,2020,3449,8,Argentina,AR,ARG,44780675,America,88.79946539
12/7/2020,12,7,2020,3367,61,Argentina,AR,ARG,44780675,America,81.09748234
11/7/2020,11,7,2020,3663,42,Argentina,AR,ARG,44780675,America,85.38504612
10/7/2020,10,7,2020,3604,53,Argentina,AR,ARG,44780675,America,77.20517835
9/7/2020,9,7,2020,2979,52,Argentina,AR,ARG,44780675,America,74.97653843
8/7/2020,8,7,2020,2632,79,Argentina,AR,ARG,44780675,America,79.31099743
7/7/2020,7,7,2020,2439,33,Argentina,AR,ARG,44780675,America,73.43346209
6/7/2020,6,7,2020,2590,37,Argentina,AR,ARG,44780675,America,72.77916199
5/7/2020,5,7,2020,0,16,Argentina,AR,ARG,44780675,America,70.5259579
4/7/2020,4,7,2020,2845,52,Argentina,AR,ARG,44780675,America,74.17485333
3/7/2020,3,7,2020,2744,34,Argentina,AR,ARG,44780675,America,76.79428682
2/7/2020,2,7,2020,2667,44,Argentina,AR,ARG,44780675,America,70.66664359
1/7/2020,1,7,2020,2262,27,Argentina,AR,ARG,44780675,America,67.82166638
30/06/2020,30,6,2020,4524,63,Argentina,AR,ARG,44780675,America,65.83866813
29/06/2020,29,6,2020,0,10,Argentina,AR,ARG,44780675,America,58.43368819
28/06/2020,28,6,2020,5287,40,Argentina,AR,ARG,44780675,America,61.29653026
27/06/2020,27,6,2020,0,43,Argentina,AR,ARG,44780675,America,52.90898362
26/06/2020,26,6,2020,2606,39,Argentina,AR,ARG,44780675,America,56.01523425
25/06/2020,25,6,2020,4920,36,Argentina,AR,ARG,44780675,America,53.26181439
24/06/2020,24,6,2020,0,6,Argentina,AR,ARG,44780675,America,45.04175071
23/06/2020,23,6,2020,2146,32,Argentina,AR,ARG,44780675,America,47.58972481
22/06/2020,22,6,2020,1581,19,Argentina,AR,ARG,44780675,America,44.64202471
21/06/2020,21,6,2020,1634,13,Argentina,AR,ARG,44780675,America,42.83990806
20/06/2020,20,6,2020,4018,50,Argentina,AR,ARG,44780675,America,41.38615597
19/06/2020,19,6,2020,0,16,Argentina,AR,ARG,44780675,America,36.36390028
18/06/2020,18,6,2020,1393,35,Argentina,AR,ARG,44780675,America,36.36390028
17/06/2020,17,6,2020,1374,24,Argentina,AR,ARG,44780675,America,35.37240115
16/06/2020,16,6,2020,1208,21,Argentina,AR,ARG,44780675,America,34.32284127
15/06/2020,15,6,2020,1282,18,Argentina,AR,ARG,44780675,America,32.88472092
14/06/2020,14,6,2020,1531,30,Argentina,AR,ARG,44780675,America,31.44436746
13/06/2020,13,6,2020,1391,20,Argentina,AR,ARG,44780675,America,29.80080135
12/6/2020,12,6,2020,1373,30,Argentina,AR,ARG,44780675,America,28.29568782
11/6/2020,11,6,2020,1239,18,Argentina,AR,ARG,44780675,America,26.94689171
10/6/2020,10,6,2020,1141,24,Argentina,AR,ARG,44780675,America,25.75441304
9/6/2020,9,6,2020,826,29,Argentina,AR,ARG,44780675,America,24.54630262
8/6/2020,8,6,2020,774,16,Argentina,AR,ARG,44780675,America,23.93443154
